Team,Airline,Departure_Time,Arrival_Time,Price
ARI,American,08:25 PM,11:29 PM,1104
ARI,United,09:15 PM,12:15 AM +1,1104
ARI,Southwest,07:15 PM,10:20 PM,1105
SF,Frontier,04:21 PM,12:21 AM +1,676
SF,United,08:55 AM,11:40 AM,1044
SF,Alaska,07:56 PM,10:59 PM,1048
SF,American,08:38 AM,11:30 AM,1210
SF,"Spirit, Frontier",09:54 PM,09:47 AM +1,807
SF,American,07:00 AM,12:31 PM,961
SF,Alaska,07:00 AM,01:24 PM,979
SF,DeltaOperated by SkyWest DBA Delta Connection,06:20 AM,11:32 AM,980
SF,United,06:15 AM,09:07 AM,1044
SF,United,04:20 PM,07:01 PM,1044
SF,United,06:20 PM,09:20 PM,1044
SF,United,08:20 PM,11:08 PM,1044
SF,United,09:07 PM,11:59 PM,1044
SF,United,10:00 PM,12:56 AM +1,1044
SF,United,12:45 PM,03:35 PM,1128
SF,American,12:45 PM,03:38 PM,1210
SF,American,09:00 PM,11:59 PM,1360
SF,United,07:15 AM,10:10 AM,1869
SF,United,10:35 AM,01:31 PM,1869
SF,United,02:35 PM,05:30 PM,2253
ATL,Frontier,07:25 AM,10:38 AM,246
ATL,Frontier,05:18 PM,08:40 PM,266
ATL,AmericanOperated by Republic Airways as American Eagle,09:45 AM,12:59 PM,534
ATL,Spirit,09:35 PM,08:08 AM +1,395
ATL,American,08:20 PM,11:40 PM,494
ATL,Delta,05:40 AM,08:44 AM,634
ATL,Delta,07:05 AM,10:10 AM,634
ATL,United,10:35 AM,01:42 PM,634
ATL,AmericanOperated by Envoy Air as American Eagle,02:58 PM,05:57 PM,634
ATL,UnitedOperated by Republic Airways DBA United Express,03:00 PM,06:13 PM,634
ATL,Delta,03:20 PM,06:19 PM,634
ATL,United,06:35 PM,09:50 PM,634
ATL,Delta,08:05 PM,11:06 PM,634
ATL,Delta,10:00 AM,01:10 PM,734
ATL,Delta,12:40 PM,03:39 PM,734
ATL,Delta,05:25 PM,08:26 PM,734
